STAT_ID	VALUE	DATEONLY
104	0	10/7/92
104	1450	11/18/91
104	1760	11/19/91
104	1200	11/20/91
104	10200	11/21/91
104	5	5/20/92
104	0	6/4/92
104	5	10/8/92
104	10	10/9/92
104	5	10/14/92
104	10	10/15/92
104	0	5/21/92
105	5	11/20/91
105	60	11/19/91
105	200	11/21/91
105	0	5/20/92
105	0	5/21/92
105	0	6/4/92
105	5	10/7/92
105	5	10/8/92
105	15	10/9/92
105	30	10/14/92
105	15	10/15/92
105	45	11/18/91
118	20	8/6/94
118	0	8/9/93
118	0	8/11/93
118	0	8/12/93
118	0	8/19/92
118	5	8/17/92
118	0	8/15/92
118	0	8/14/92
118	5	8/13/92
118	0	8/12/92
118	0	8/2/94
118	35	8/3/94
118	0	7/25/93
118	0	8/5/94
118	0	8/13/93
118	0	8/9/94
118	0	8/11/94
118	0	8/12/94
118	0	8/16/94
118	0	8/19/94
118	55	8/20/94
118	0	8/10/92
118	0	8/8/92
118	0	8/7/92
118	0	8/4/92
118	0	8/3/92
118	5	8/14/93
118	5	8/4/94
118	0	8/20/92
118	15	8/27/92
118	95	8/26/92
118	15	8/25/92
118	0	8/24/92
118	0	8/18/92
118	5	8/21/92
118	5	7/24/93
118	0	7/28/93
118	5	7/29/93
118	0	7/23/93
118	0	7/26/93
118	0	7/31/93
118	0	8/6/93
118	0	8/5/93
118	0	8/2/93
19	70	9/10/96
19	55	7/21/92
19	10	7/22/92
19	5	7/23/92
19	200	7/24/92
19	5	7/25/92
19	15	7/27/92
19	5	7/28/92
19	0	7/29/92
19	30	7/30/92
19	25	7/31/92
19	0	6/14/93
19	15	6/16/93
19	10	6/28/93
19	5	7/2/93
19	25	6/30/93
19	0	6/19/93
19	10	7/20/92
19	60	6/29/93
19	5	8/26/91
19	0	6/24/93
19	25	6/25/93
19	15	6/26/93
19	933	6/29/89
19	108	6/23/90
19	33	6/13/90
19	10	6/14/90
19	110	6/15/90
19	30	6/16/90
19	328	6/19/90
19	40	8/29/91
19	33	6/22/90
19	375	8/17/89
19	33	6/25/90
19	3	6/26/90
19	20	6/27/90
19	93	6/29/90
19	858	6/30/90
19	75	7/2/90
19	293	6/21/90
19	33	8/7/89
19	60	7/19/89
19	228	7/24/89
19	63	7/25/89
19	33	7/26/89
19	670	7/31/89
19	243	8/1/89
19	140	6/12/90
19	1073	8/3/89
19	88	8/25/89
19	205	8/8/89
19	13	8/9/89
19	6750	8/14/89
19	4975	8/15/89
19	31400	8/16/89
19	213	10/1/90
19	130	8/2/89
19	15	7/8/92
19	120	7/3/90
19	180	8/23/91
19	240	8/24/91
19	25	6/21/93
19	80	8/27/91
19	40	8/30/91
19	2050	8/21/91
19	55	7/7/92
19	1550	8/20/91
19	40	7/9/92
19	155	7/10/92
19	80	7/13/92
19	265	7/14/92
19	395	7/15/92
19	105	7/17/92
19	335	7/6/92
19	870	10/18/90
19	80	7/18/92
19	30	10/2/90
19	5	10/4/90
19	100	10/9/90
19	12700	10/14/90
19	3550	10/15/90
19	1350	8/22/91
19	290	10/17/90
19	115	7/5/90
19	10	8/12/91
19	10	8/13/91
19	75	8/14/91
19	55	8/15/91
19	25	8/16/91
19	65	8/17/91
19	955	10/16/90
19	30	7/21/96
19	10	6/22/94
19	35	6/12/95
19	5	7/9/96
19	10	7/11/96
19	35	7/12/96
19	1670	7/14/96
19	530	7/15/96
19	775	7/15/96
19	1330	7/16/96
19	610	7/17/96
19	5	6/18/93
19	40	7/19/96
19	90	7/9/95
19	25	7/22/96
19	90	7/9/94
19	0	7/7/94
19	15	7/2/94
19	0	7/1/94
19	65	6/30/94
19	20	6/29/94
19	30	6/28/94
19	135	6/25/94
19	40	6/24/94
19	40	6/23/94
19	190	7/18/96
19	10	6/26/95
19	5	7/8/95
19	10	7/7/95
19	50	7/6/95
19	180	7/5/95
19	55	7/2/95
19	5	7/1/95
19	20	6/30/95
19	20	6/29/95
19	20	6/29/95
19	5	6/28/95
19	30	7/8/96
19	5	6/27/95
19	0	7/5/94
19	20	6/25/95
19	5	6/24/95
19	135	6/23/95
19	880	6/22/95
19	5	6/21/95
19	30	6/20/95
19	5	6/16/95
19	30	6/15/95
19	70	6/15/95
19	20	6/14/95
19	80	6/13/95
19	5	6/28/95
19	5	8/19/96
19	9800	7/25/96
19	45	6/21/94
19	5	7/8/94
19	225	7/27/96
19	310	7/29/96
19	175	7/30/96
19	585	8/2/96
19	875	7/24/96
19	245	8/1/96
19	370	7/26/96
19	25	8/27/96
19	10	8/28/96
19	10	8/29/96
19	105	8/30/96
19	10	9/3/96
19	55	9/4/96
19	80	9/9/96
19	4450	8/3/96
19	180	7/27/96
19	35	7/23/96
20	13	8/7/89
20	70	7/24/89
20	208	7/25/89
20	20	7/26/89
20	633	7/31/89
