STAT_ID	DATE	Julian	coli.	TIDE	temp	Rain
						
						
6	06/08/89	32667	1070	9	20	0.49132474
6	06/13/89	32672	990	9	19	0.15
6	06/14/89	32673	490	9		0.15
6	06/15/89	32674	730	9	19	0.755049667
6	06/19/89	32678	1025	9	21	0.08
6	06/20/89	32679	1445	9	22.5	0.08
6	06/21/89	32680	1080	9	23	0
6	06/22/89	32681	7400	9	25	0
6	06/26/89	32685	150	9	27	0
6	07/09/90	33063	313	9	23.7	0.02
6	07/10/90	33064	305	9	24.6	0.02
6	07/11/90	33065	340	9	24	0.02
6	07/12/90	33066	663	9	23.5	0.68
6	07/13/90	33067	3475	9	22.5	0.69050706
6	07/14/90	33068	390	9	25	0.69050706
6	07/16/90	33070	470	9	24.5	0
6	07/17/90	33071	1175	9	25.2	0
6	07/18/90	33072	568	9	25.2	0
6	07/19/90	33073	183	9	26.3	0
6	07/20/90	33074	210	9	26.9	0.29
6	07/21/90	33075	495	9	26.9	0.29
6	07/23/90	33077	95	9	27.6	0.02
6	07/24/90	33078	148	9	26.6	0.790253124
6	07/25/90	33079	22600	9	25.6	2.076174366
6	07/26/90	33080	12550	9	24	2.076174366
6	07/27/90	33081	1100	9	23.9	1.92
6	07/28/90	33082	620	9	24	0.01
6	07/31/90	33085	635	9	25.5	0
6	10/22/90	33168	1700	9	13.7	0
6	10/23/90	33169	1045	9	13.9	0.68
6	10/24/90	33170	3600	9	14.1	0.920217366
6	10/25/90	33171	2025	9	14	0.920217366
6	10/30/90	33176	885	9	8.4	0.33
6	10/31/90	33177	1013	9	8.2	0
6	11/01/90	33178	1950	9	8.9	0
6	11/05/90	33182	2350	9	10.5	0
6	11/06/90	33183	1350	9	10.9	0.57
6	11/07/90	33184	265	9	9.9	0.57
6	11/08/90	33185	2400	9	9.1	0.570788928
6	09/03/91	33484	185	9	22.5	0
6	09/04/91	33485	875	9	22.2	0
6	09/05/91	33486	1750	9	22.1	0.89
6	09/09/91	33490	290	9	22.6	0
6	09/10/91	33491	145	9	22.1	0
6	09/11/91	33492	1350	9	21.9	0
6	09/12/91	33493	1170	9	21.3	0
6	09/13/91	33494	660	9	21.2	0
6	09/16/91	33497	355	9	20.9	0.13
6	09/17/91	33498	17500	9	21.7	0.12
6	09/18/91	33499	1180	9	22.9	0
6	09/19/91	33500	645	9	22.8	0.77
6	09/20/91	33501	3200	9	20.8	1.027277957
6	07/06/92	33791	1710	9	22.2	0.354682957
6	07/07/92	33792	795	9	22.8	0.23
6	07/08/92	33793	845	9	23.2	0.23
6	07/09/92	33794	7800	9	21.9	0.47
6	07/10/92	33795	3750	9	22.5	0.47
6	07/13/92	33798	2310	9	23.8	0.18
6	07/14/92	33799	600	9	23.5	0.2
6	07/15/92	33800	1275	9	23.1	0.447213595
6	07/17/92	33802	850	9	23.5	0.40012498
6	07/20/92	33805	985	9	25.8	0.01
6	07/21/92	33806	915	9	25.6	0
6	07/22/92	33807	595	9	24.9	0
6	07/23/92	33808	110	9	24.3	0.37
6	07/24/92	33809	355	9	24.3	0.37
6	07/25/92	33810	120	9	24.1	0.37
6	07/27/92	33812	365	9	23.3	0
6	07/28/92	33813	1050	9	23.4	0
